Image Name,Crack Area,Pothole Area,Total Damage Area,State,Highway
1007607_RS_386_386RS289112_28960.jpg,4005,104,4109,RS,386
1014609_RS_386_386RS124739_29970.jpg,9674,0,9674,RS,386
1014623_RS_386_386RS124739_30040.jpg,5213,0,5213,RS,386
1014628_RS_386_386RS124739_30065.jpg,37399,1587,38986,RS,386
1014629_RS_386_386RS124739_30070.jpg,28635,200,28835,RS,386
1014650_RS_386_386RS124739_30175.jpg,9993,0,9993,RS,386
1014688_RS_386_386RS124739_30365.jpg,2690,0,2690,RS,386
1014695_RS_386_386RS124739_30400.jpg,14013,0,14013,RS,386
1014713_RS_386_386RS124739_30490.jpg,1678,50115,51793,RS,386
1014714_RS_386_386RS124739_30495.jpg,330,49029,49359,RS,386
1014723_RS_386_386RS124739_30540.jpg,725,21660,22385,RS,386
1014746_RS_386_386RS124739_30655.jpg,2748,0,2748,RS,386
1014748_RS_386_386RS124739_30665.jpg,1246,0,1246,RS,386
1014752_RS_386_386RS124739_30685.jpg,26115,0,26115,RS,386
1014754_RS_386_386RS124739_30695.jpg,19990,1431,21421,RS,386
1014755_RS_386_386RS124739_30700.jpg,1129,0,1129,RS,386
1014785_RS_386_386RS124739_30851.jpg,1719,5650,7369,RS,386
1014817_RS_386_386RS124739_31010.jpg,7975,1,7976,RS,386
1014840_RS_386_386RS124739_31125.jpg,24908,0,24908,RS,386
1014844_RS_386_386RS124739_31145.jpg,23197,2941,26138,RS,386
1014845_RS_386_386RS124739_31150.jpg,27747,706,28453,RS,386
1014856_RS_386_386RS124739_31205.jpg,17103,0,17103,RS,386
1014878_RS_386_386RS124739_31315.jpg,23286,9069,32355,RS,386
1014880_RS_386_386RS124739_31325.jpg,28246,0,28246,RS,386
1014888_RS_386_386RS124739_31365.jpg,18284,7344,25628,RS,386
1014896_RS_386_386RS124739_31405.jpg,27300,27,27327,RS,386
1014900_RS_386_386RS124739_31425.jpg,13735,0,13735,RS,386
1014919_RS_386_386RS124739_31520.jpg,1644,0,1644,RS,386
1025741_RS_386_386RS169832_08445.jpg,4450,189,4639,RS,386
1025768_RS_386_386RS169832_08580.jpg,16048,0,16048,RS,386
1025773_RS_386_386RS169832_08605.jpg,6912,0,6912,RS,386
1025782_RS_386_386RS169832_08650.jpg,4778,1,4779,RS,386
1025783_RS_386_386RS169832_08655.jpg,1826,713,2539,RS,386
1025786_RS_386_386RS169832_08670.jpg,12818,20,12838,RS,386
1025789_RS_386_386RS169832_08685.jpg,18784,60,18844,RS,386
1025791_RS_386_386RS169832_08695.jpg,11628,66,11694,RS,386
1025880_RS_386_386RS169832_09140.jpg,13851,0,13851,RS,386
1025891_RS_386_386RS169832_09195.jpg,10620,0,10620,RS,386
1026150_RS_386_386RS169832_10490.jpg,270,0,270,RS,386
1044259_DF_060_060BDF0050_00121.jpg,8,490,498,DF,060
1050931_DF_080_080BDF0050_00553.jpg,27148,0,27148,DF,080
1051484_DF_020_020BDF0070_01140.jpg,3513,231,3744,DF,020
1051764_DF_020_020BDF0070_01672.jpg,2605,2087,4692,DF,020
1051771_DF_020_020BDF0070_01684.jpg,543,1383,1926,DF,020
1051790_DF_020_020BDF0070_01724.jpg,468,3056,3524,DF,020
1052121_DF_020_020BDF0070_02438.jpg,9995,0,9995,DF,020
1052129_DF_020_020BDF0070_02453.jpg,369,2883,3252,DF,020
1053813_DF_020_020BDF0070_05945.jpg,1109,0,1109,DF,020
1053818_DF_020_020BDF0070_05954.jpg,42,4782,4824,DF,020
1053849_DF_020_020BDF0070_06009.jpg,3949,1553,5502,DF,020
1053909_DF_020_020BDF0070_06111.jpg,5916,0,5916,DF,020
1053954_DF_020_020BDF0070_06194.jpg,2030,2754,4784,DF,020
1053957_DF_020_020BDF0070_06199.jpg,3666,1854,5520,DF,020
1054908_DF_020_020BDF0070_07965.jpg,3479,0,3479,DF,020
1055058_DF_020_020BDF0070_08244.jpg,1067,2218,3285,DF,020
1055614_DF_020_020BDF0070_09283.jpg,93,638,731,DF,020
1055711_DF_020_020BDF0070_09455.jpg,946,152,1098,DF,020
1055970_DF_010_010BDF0010_00128.jpg,2196,1537,3733,DF,010
1067835_DF_010_010BDF0018_03802.jpg,1795,949,2744,DF,010
1068381_DF_010_010BDF0018_04986.jpg,49,2092,2141,DF,010
1068440_DF_010_010BDF0018_05096.jpg,603,1118,1721,DF,010
1074973_DF_251_251BDF0530_00800.jpg,2394,6,2400,DF,251
1075571_DF_251_251BDF0530_01915.jpg,9783,0,9783,DF,251
1075978_DF_251_251BDF0530_02656.jpg,17724,0,17724,DF,251
1076685_DF_251_251BDF0530_03978.jpg,8036,0,8036,DF,251
1076757_DF_251_251BDF0530_04111.jpg,12364,0,12364,DF,251
1076758_DF_251_251BDF0530_04113.jpg,1250,0,1250,DF,251
1077212_DF_251_251BDF0530_04962.jpg,1629,0,1629,DF,251
1081507_DF_080_080BDF0070_00328.jpg,12895,0,12895,DF,080
1081522_DF_080_080BDF0070_00358.jpg,8760,0,8760,DF,080
1081566_DF_080_080BDF0070_00437.jpg,8653,0,8653,DF,080
1081591_DF_080_080BDF0070_00482.jpg,6416,3538,9954,DF,080
1081596_DF_080_080BDF0070_00491.jpg,6976,125,7101,DF,080
1081659_DF_080_080BDF0070_00606.jpg,7428,0,7428,DF,080
1081676_DF_080_080BDF0070_00638.jpg,18491,0,18491,DF,080
1081703_DF_080_080BDF0070_00686.jpg,21455,0,21455,DF,080
1081769_DF_080_080BDF0070_00808.jpg,2095,0,2095,DF,080
1081889_DF_080_080BDF0070_01028.jpg,18674,0,18674,DF,080
1081908_DF_080_080BDF0070_01067.jpg,10752,0,10752,DF,080
1083759_DF_080_080BDF0090_00306.jpg,3005,0,3005,DF,080
1084436_DF_080_080BDF0090_01661.jpg,11733,4028,15761,DF,080
1084476_DF_080_080BDF0090_01732.jpg,16531,0,16531,DF,080
1085430_DF_080_080BDF0090_03602.jpg,4804,0,4804,DF,080
1090172_DF_070_070BDF0050_05625.jpg,99,3540,3639,DF,070
1090283_DF_070_070BDF0050_05829.jpg,2628,0,2628,DF,070
1091634_DF_251_251BDF0490_00628.jpg,2325,0,2325,DF,251
1091694_DF_251_251BDF0490_00742.jpg,12983,0,12983,DF,251
1091702_DF_251_251BDF0490_00758.jpg,6721,0,6721,DF,251
1091705_DF_251_251BDF0490_00764.jpg,10626,0,10626,DF,251
1091716_DF_251_251BDF0490_00784.jpg,19064,0,19064,DF,251
1091722_DF_251_251BDF0490_00796.jpg,12046,0,12046,DF,251
1091743_DF_251_251BDF0490_00836.jpg,14513,0,14513,DF,251
1091746_DF_251_251BDF0490_00842.jpg,7463,0,7463,DF,251
1091747_DF_251_251BDF0490_00844.jpg,6034,0,6034,DF,251
1091750_DF_251_251BDF0490_00850.jpg,9645,0,9645,DF,251
1091755_DF_251_251BDF0490_00859.jpg,5118,0,5118,DF,251
1091775_DF_251_251BDF0490_00895.jpg,10242,0,10242,DF,251
1091782_DF_251_251BDF0490_00910.jpg,5345,0,5345,DF,251
1091787_DF_251_251BDF0490_00919.jpg,7567,0,7567,DF,251
1091820_DF_251_251BDF0490_00981.jpg,17993,0,17993,DF,251
1091835_DF_251_251BDF0490_01010.jpg,5257,0,5257,DF,251
1091838_DF_251_251BDF0490_01016.jpg,5334,0,5334,DF,251
1091863_DF_251_251BDF0490_01063.jpg,1124,0,1124,DF,251
1091871_DF_251_251BDF0490_01078.jpg,10978,0,10978,DF,251
1091883_DF_251_251BDF0490_01101.jpg,6227,0,6227,DF,251
1091884_DF_251_251BDF0490_01104.jpg,6697,0,6697,DF,251
1091934_DF_251_251BDF0490_01198.jpg,21354,0,21354,DF,251
1091958_DF_251_251BDF0490_01243.jpg,2685,0,2685,DF,251
1091964_DF_251_251BDF0490_01253.jpg,8477,0,8477,DF,251
1091984_DF_251_251BDF0490_01290.jpg,7400,0,7400,DF,251
1092031_DF_251_251BDF0490_01377.jpg,8837,0,8837,DF,251
1092032_DF_251_251BDF0490_01379.jpg,6277,0,6277,DF,251
1092063_DF_251_251BDF0490_01436.jpg,19185,0,19185,DF,251
1092073_DF_251_251BDF0490_01454.jpg,9641,0,9641,DF,251
1092110_DF_251_251BDF0490_01520.jpg,2081,0,2081,DF,251
1092727_DF_251_251BDF0052_00466.jpg,26758,0,26758,DF,251
1092742_DF_251_251BDF0052_00492.jpg,19440,0,19440,DF,251
1092754_DF_251_251BDF0052_00513.jpg,25210,0,25210,DF,251
1092755_DF_251_251BDF0052_00515.jpg,21322,0,21322,DF,251
1092756_DF_251_251BDF0052_00516.jpg,19659,0,19659,DF,251
1092763_DF_251_251BDF0052_00527.jpg,44731,0,44731,DF,251
1092774_DF_251_251BDF0052_00546.jpg,2328,0,2328,DF,251
1092793_DF_251_251BDF0052_00580.jpg,51867,0,51867,DF,251
1092798_DF_251_251BDF0052_00588.jpg,12426,0,12426,DF,251
1092805_DF_251_251BDF0052_00600.jpg,31045,0,31045,DF,251
1092807_DF_251_251BDF0052_00604.jpg,21025,0,21025,DF,251
1092826_DF_251_251BDF0052_00638.jpg,47402,0,47402,DF,251
1092827_DF_251_251BDF0052_00639.jpg,26389,5,26394,DF,251
1092840_DF_251_251BDF0052_00662.jpg,45680,0,45680,DF,251
1092841_DF_251_251BDF0052_00663.jpg,46717,0,46717,DF,251
1092842_DF_251_251BDF0052_00665.jpg,45626,0,45626,DF,251
1092898_DF_251_251BDF0052_00764.jpg,140,766,906,DF,251
1092939_DF_251_251BDF0052_00836.jpg,34552,4474,39026,DF,251
1092941_DF_251_251BDF0052_00839.jpg,17499,0,17499,DF,251
1092979_DF_251_251BDF0052_00907.jpg,33926,0,33926,DF,251
1093083_DF_251_251BDF0052_01091.jpg,32551,0,32551,DF,251
1093339_DF_251_251BDF0052_01599.jpg,16418,0,16418,DF,251
1093729_DF_251_251BDF0052_02261.jpg,1154,0,1154,DF,251
1093882_DF_251_251BDF0052_02538.jpg,14667,0,14667,DF,251
1094290_DF_251_251BDF0052_03295.jpg,2071,0,2071,DF,251
1094535_DF_251_251BDF0052_03747.jpg,1939,0,1939,DF,251
1094910_DF_251_251BDF0052_04492.jpg,26131,0,26131,DF,251
1096867_DF_070_070BDF0010_03482.jpg,3381,0,3381,DF,070
765440_ES_259_259ES000000_01300.jpg,1856,0,1856,ES,259
766085_ES_259_259ES000000_04525.jpg,94,6431,6525,ES,259
774081_ES_259_259ES000000_44505.jpg,29,225,254,ES,259
820315_ES_259_259ES000000_03060.jpg,303,1593,1896,ES,259
883248_RS_290_290RS150131_16970.jpg,0,33531,33531,RS,290
883254_RS_290_290RS150131_17000.jpg,16,68838,68854,RS,290
884193_RS_290_290RS150131_21695.jpg,4,19757,19761,RS,290
915962_RS_290_290RS294095_13260.jpg,3511,0,3511,RS,290
915963_RS_290_290RS294095_13265.jpg,1736,0,1736,RS,290
915967_RS_290_290RS294095_13285.jpg,3148,0,3148,RS,290
916025_RS_290_290RS294095_13575.jpg,4888,0,4888,RS,290
916110_RS_290_290RS294095_14000.jpg,2611,2243,4854,RS,290
